State,County,Website,Population,Coordinates,Wikidata ID
Texas,Garza County,http://www.co.garza.tx.us,6317,Point(-101.3 33.18),Q111663
Texas,Floyd County,http://www.co.floyd.tx.us,6230,Point(-101.3 34.07),Q110528
Texas,Hartley County,http://www.co.hartley.tx.us,6100,Point(-102.61 35.84),Q112714
Texas,San Saba County,http://www.co.san-saba.tx.us/,6012,Point(-98.81 31.16),Q484586
Texas,Carson County,http://www.co.carson.tx.us,6010,Point(-101.35 35.41),Q109155
Texas,Crosby County,http://www.co.crosby.tx.us,5991,Point(-101.3 33.61),Q109279
Texas,Haskell County,http://www.co.haskell.tx.us,5875,Point(-99.73 33.18),Q112768
Texas,Wheeler County,http://www.co.wheeler.tx.us,5751,Point(-100.27 35.4),Q111766
Texas,Lynn County,http://www.co.lynn.tx.us,5723,Point(-101.82 33.18),Q114323
Texas,Hansford County,http://www.co.hansford.tx.us,5555,Point(-101.35 36.28),Q109646
Texas,Martin County,http://www.co.martin.tx.us/,5312,Point(-101.96 32.3),Q484551
Texas,Jim Hogg County,http://www.co.jim-hogg.tx.us/,5245,Point(-98.68 27.05),Q279452
Texas,Delta County,http://www.co.delta.tx.us/,5238,Point(-95.67 33.39),Q109289
Texas,Mills County,http://www.co.mills.tx.us/,4907,Point(-98.59 31.5),Q156463
Texas,Crane County,http://www.co.crane.tx.us,4773,Point(-102.52 31.41),Q109447
Texas,Kimble County,http://www.co.kimble.tx.us,4481,Point(-99.75 30.49),Q26526
Texas,Hemphill County,http://www.co.hemphill.tx.us,4158,Point(-100.28 35.83),Q112078
Texas,Mason County,http://www.co.mason.tx.us,4128,Point(-99.22 30.72),Q111374
Texas,Concho County,http://www.co.concho.tx.us,4043,Point(-99.86 31.33),Q109795
Texas,Sutton County,http://www.co.sutton.tx.us,4006,Point(-100.54 30.5),Q26891
Texas,Fisher County,http://www.co.fisher.tx.us,3856,Point(-100.4 32.74),Q109975
Texas,Crockett County,http://www.co.crockett.tx.us,3807,Point(-101.41 30.73),Q108957
Texas,Knox County,http://www.knoxcountytexas.org,3767,Point(-99.74 33.61),Q110570
Texas,Baylor County,http://www.baylorcountytexas.com/,3614,Point(-99.22 33.63),Q108520
Texas,Reagan County,http://www.cvcog.org,3601,Point(-101.52 31.36),Q111851
Texas,Kinney County,http://www.co.kinney.tx.us,3586,Point(-100.42 29.35),Q110983
Texas,Donley County,http://www.co.donley.tx.us,3522,Point(-100.81 34.96),Q109451
Texas,Lipscomb County,http://www.co.lipscomb.tx.us,3485,Point(-100.27 36.28),Q112584
Texas,Shackelford County,http://www.shackelfordcounty.org/,3375,Point(-99.35 32.73),Q114550
Texas,Upton County,http://www.co.upton.tx.us,3372,Point(-102.04 31.36),Q113940
Texas,Real County,http://www.co.real.tx.us,3350,Point(-99.81 29.84),Q26710
Texas,Hudspeth County,http://www.co.hudspeth.tx.us/,3318,Point(-105.37 31.45),Q110257
